Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa UGC Shaker - Dr.,Shaker,Dr. James Smith,UGC,Valeur,Parfait pour voyager,Juillet 2025,En ligne,2540.52,35,1321.07,0.52,72.59,80890,2872,3.55,2025-07-23
Créa Podcast AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,Podcast,Éducation,Boostez votre immunité,Juillet 2025,En pause,1117.90,112,1989.86,1.78,9.98,76307,2877,3.77,2025-07-15
Créa Témoignage Bundle Complet - Marie,Bundle Complet,Marie Dubois,Témoignage,Éducation,Mon cœur me remercie,Août 2025,En ligne,1863.58,80,3373.08,1.81,23.29,202705,5412,2.67,2025-08-15
Créa Témoignage Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Témoignage,Testimonial,Parfait pour voyager,Novembre 2025,En pause,2677.22,30,4738.68,1.77,89.24,288702,6784,2.35,2025-11-25
Créa Témoignage AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Témoignage,Valeur,N'oubliez plus jamais,Septembre 2025,Arrêtée,1762.91,92,4372.02,2.48,19.16,207199,4393,2.12,2025-09-14
Créa Témoignage AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Témoignage,Testimonial,Mon cœur me remercie,Octobre 2025,En ligne,2599.28,103,7615.89,2.93,25.24,50359,1214,2.41,2025-10-17
Créa Motion/Vidéo Shaker - Pierre,Shaker,Pierre Moreau,Motion/Vidéo,Santé,Ne manquez jamais votre dose,Novembre 2025,En ligne,1610.14,49,1320.31,0.82,32.86,195211,4802,2.46,2025-11-20
Créa Motion/Vidéo Abonnement - Dr.,Abonnement,Dr. Robert White,Motion/Vidéo,Valeur,Économisez avec le bundle,Septembre 2025,Archivée,2406.34,46,2550.72,1.06,52.31,61636,1849,3.00,2025-09-14
Créa Motion/Vidéo Bundle Complet - Julie,Bundle Complet,Julie Bernard,Motion/Vidéo,Santé,Économisez avec le bundle,Août 2025,Arrêtée,1561.52,140,1530.29,0.98,11.15,272232,9283,3.41,2025-08-15
Créa Motion/Vidéo Abonnement - Lisa,Abonnement,Lisa Garcia,Motion/Vidéo,Convenience,Le meilleur rapport qualité-prix,Octobre 2025,En ligne,1373.90,19,783.12,0.57,72.31,63156,2090,3.31,2025-10-06
Créa Témoignage Omega-3 - Kevin,Omega-3,Kevin Taylor,Témoignage,Convenience,Économisez avec le bundle,Octobre 2025,Arrêtée,1142.00,68,913.60,0.80,16.79,144960,3204,2.21,2025-10-16
Créa Témoignage AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,Témoignage,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Arrêtée,1300.27,40,2366.49,1.82,32.51,250236,7482,2.99,2025-09-05
Créa Témoignage Bundle Complet - Tom,Bundle Complet,Tom Brown,Témoignage,Accessoire,Ma transformation en 2 mois,Août 2025,Archivée,1212.22,69,3818.49,3.15,17.57,100500,2513,2.50,2025-08-12
Créa Podcast AG1 Powder - Marc,AG1 Powder,Marc Petit,Podcast,Valeur,Le shaker qui change tout,Octobre 2025,Archivée,2586.17,66,6801.63,2.63,39.18,159930,6269,3.92,2025-10-25
Créa Image statique Vitamine D3+K2 - Emma,Vitamine D3+K2,Emma Wilson,Image statique,Éducation,Essentiel en hiver,Août 2025,En pause,1543.33,123,5216.46,3.38,12.55,283527,8081,2.85,2025-08-16
Créa Motion/Vidéo Abonnement - Marie,Abonnement,Marie Dubois,Motion/Vidéo,Éducation,Boostez votre immunité,Septembre 2025,En pause,1383.41,102,4067.23,2.94,13.56,83423,3228,3.87,2025-09-14
Créa Image statique AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,Image statique,Accessoire,N'oubliez plus jamais,Novembre 2025,Arrêtée,691.60,30,1141.14,1.65,23.05,112106,2601,2.32,2025-11-17
Créa Motion/Vidéo Shaker - Camille,Shaker,Camille Rousseau,Motion/Vidéo,Valeur,Essentiel en hiver,Août 2025,Archivée,1581.14,47,980.31,0.62,33.64,222263,5490,2.47,2025-08-12
Créa UGC Omega-3 - Sarah,Omega-3,Sarah Martin,UGC,Valeur,Le shaker qui change tout,Octobre 2025,En pause,658.43,34,467.49,0.71,19.37,249966,7024,2.81,2025-10-15
Créa UGC Bundle Complet - Tom,Bundle Complet,Tom Brown,UGC,Valeur,Essentiel en hiver,Août 2025,En pause,608.27,51,2037.70,3.35,11.93,268054,8042,3.00,2025-08-27
Créa UGC Omega-3 - Laura,Omega-3,Laura Davis,UGC,Valeur,Mon cœur me remercie,Juillet 2025,En ligne,2157.78,47,2028.31,0.94,45.91,214865,8186,3.81,2025-07-25
Créa Image statique Omega-3 - Marie,Omega-3,Marie Dubois,Image statique,Testimonial,Le meilleur rapport qualité-prix,Novembre 2025,En ligne,2948.80,143,5691.18,1.93,20.62,296717,11038,3.72,2025-11-11
Créa Podcast AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Podcast,Éducation,Parfait pour voyager,Octobre 2025,Arrêtée,944.58,99,736.77,0.78,9.54,276852,8555,3.09,2025-10-05
Créa UGC Omega-3 - Julie,Omega-3,Julie Bernard,UGC,Santé,Le meilleur rapport qualité-prix,Juillet 2025,En pause,2783.39,148,5650.28,2.03,18.81,84111,1943,2.31,2025-07-20
Créa Image statique AG1 Travel Packs - Sarah,AG1 Travel Packs,Sarah Martin,Image statique,Santé,Mon expérience avec Omega-3,Août 2025,En pause,1998.49,19,5076.16,2.54,105.18,59483,1463,2.46,2025-08-25
Créa Podcast AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,Podcast,Valeur,Essentiel en hiver,Août 2025,Arrêtée,808.46,91,1681.60,2.08,8.88,115731,2338,2.02,2025-08-26
Créa Motion/Vidéo Omega-3 - Alex,Omega-3,Alex Johnson,Motion/Vidéo,Éducation,Mon expérience avec Omega-3,Septembre 2025,Arrêtée,2863.68,130,3178.68,1.11,22.03,278153,8845,3.18,2025-09-03
Créa UGC AG1 Powder - Sarah,AG1 Powder,Sarah Martin,UGC,Valeur,Ma transformation en 2 mois,Novembre 2025,En pause,867.01,39,2479.65,2.86,22.23,259282,7078,2.73,2025-11-14
Créa Témoignage Bundle Complet - Sarah,Bundle Complet,Sarah Martin,Témoignage,Santé,Économisez avec le bundle,Juillet 2025,En ligne,2497.24,60,6817.47,2.73,41.62,296426,8774,2.96,2025-07-17
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Convenience,Économisez avec le bundle,Août 2025,Arrêtée,2834.07,87,8615.57,3.04,32.58,75177,1797,2.39,2025-08-14
Créa Image statique AG1 Powder - Julie,AG1 Powder,Julie Bernard,Image statique,Valeur,Le meilleur rapport qualité-prix,Août 2025,Archivée,699.75,30,1742.38,2.49,23.33,166482,4528,2.72,2025-08-10
Créa UGC Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. James Smith,UGC,Éducation,Économisez avec le bundle,Octobre 2025,Arrêtée,1467.15,110,865.62,0.59,13.34,202214,7118,3.52,2025-10-07
